user_id,course_id,rating
1,14,1.31
1,13,1.33
1,143,2.34
1,104,1.96
1,67,2.62
1,32,1.71
1,131,1.81
1,108,1.54
1,116,1.31
1,46,1.57
1,77,1.65
1,36,1.23
1,59,1.9
1,145,1.54
1,106,1.0
1,127,2.51
1,83,1.05
1,38,1.22
1,109,1.0
1,28,1.0
1,64,1.63
1,97,1.95
1,112,1.78
1,39,1.59
1,42,1.48
1,31,1.01
1,121,1.91
1,56,1.64
1,74,1.51
1,105,1.96
1,119,1.73
1,53,1.31
1,142,1.69
1,5,2.04
1,21,1.49
1,91,1.36
1,107,1.69
1,40,2.21
1,85,1.99
1,49,2.05
1,82,1.77
1,98,1.35
1,147,1.76
1,70,1.0
2,4,1.02
2,26,1.93
2,89,1.0
2,104,2.74
2,7,1.0
2,8,1.96
2,38,1.75
2,13,1.15
2,81,2.59
2,19,2.08
2,98,1.5
2,118,1.63
2,147,1.6
2,143,2.82
2,40,1.51
2,6,1.31
2,49,1.0
2,107,1.17
2,10,1.17
2,53,2.3
2,43,1.21
2,32,1.51
2,106,2.47
2,99,1.38
2,80,1.54
2,139,1.24
2,16,1.0
3,67,2.71
3,127,2.29
3,94,1.23
3,131,1.76
3,35,1.72
3,33,1.7
3,72,1.92
3,2,1.8
3,111,1.19
3,50,1.45
3,91,1.16
3,12,1.15
3,31,1.0
3,102,2.6
3,52,1.0
3,38,1.67
3,39,2.34
3,30,1.25
3,62,1.59
3,110,1.14
3,83,1.79
3,98,1.0
3,43,1.83
3,140,2.99
3,69,2.13
3,49,1.87
3,139,1.01
3,105,2.12
3,101,1.64
3,137,1.27
3,10,1.0
3,129,2.1
3,109,1.85
3,61,1.23
3,19,2.58
3,142,1.36
3,25,1.59
3,44,1.91
3,114,3.05
3,28,1.0
3,82,1.43
3,15,1.48
3,6,1.9
3,104,2.14
3,24,1.09
3,85,2.59
3,3,2.39
3,122,2.19
3,138,2.54
3,132,1.75
4,90,1.98
4,58,2.69
4,85,1.12
4,50,1.71
4,1,1.43
4,131,2.22
4,64,1.41
4,73,1.62
4,14,1.0
4,127,2.25
4,27,1.04
4,63,2.59
4,69,1.57
4,141,1.51
4,33,1.88
4,109,1.97
4,147,2.01
4,82,1.73
4,105,2.38
4,60,1.12
4,114,2.1
4,138,1.27
4,107,1.0
4,142,1.76
4,88,1.0
